strategy,problem,dim,best_fitness,runtime_ms
1,2,20,6.45106e-013,43.3257
1,2,20,3.32945e-013,44.7395
1,2,20,1.47144e-012,43.6977
1,2,20,5.23281e-013,45.7082
1,2,20,3.34803e-013,44.0552
1,2,20,9.61436e-013,49.4613
1,2,20,4.97157e-013,45.8742
1,2,20,5.41023e-013,44.0258
1,2,20,7.87627e-013,44.4944
1,2,20,4.32457e-013,42.8399
1,2,20,5.0855e-013,44.3146
1,2,20,7.25156e-013,46.7172
1,2,20,5.85354e-013,44.3349
1,2,20,4.8342e-013,43.4121
1,2,20,7.84791e-013,45.5889
1,2,20,2.10325e-013,43.1232
1,2,20,5.70452e-013,43.0316
1,2,20,3.86626e-013,46.2688
1,2,20,3.87266e-013,45.7778
1,2,20,8.19107e-013,43.0839
1,2,20,7.66462e-013,43.7342
1,2,20,6.40061e-013,44.2274
1,2,20,6.38219e-013,53.6074
1,2,20,3.49366e-013,50.3634
2,2,20,2.75788e-009,49.6483
2,2,20,4.35899e-009,44.7971
2,2,20,4.20367e-009,46.0232
2,2,20,5.2676e-009,44.6304
2,2,20,3.44711e-009,45.7997
2,2,20,4.95981e-009,44.6752
2,2,20,3.856e-009,44.5859
2,2,20,6.54317e-009,45.7856
2,2,20,4.23306e-009,45.535
2,2,20,7.18267e-009,48.1411
2,2,20,6.35745e-009,44.8812
2,2,20,3.50072e-009,44.6953
2,2,20,3.6169e-009,44.1483
2,2,20,3.40653e-009,46.2595
2,2,20,5.50355e-009,43.1964
2,2,20,4.25616e-009,46.7605
2,2,20,5.48593e-009,47.7955
2,2,20,5.6548e-009,43.3226
2,2,20,4.66173e-009,44.3744
2,2,20,3.83649e-009,46.8567
2,2,20,4.25785e-009,45.1586
2,2,20,6.44413e-009,43.0979
2,2,20,3.91881e-009,51.8953
2,2,20,3.70118e-009,44.7798
2,2,20,4.33852e-009,46.7724
2,2,20,4.4531e-009,44.8393
2,2,20,5.66774e-009,43.4919
2,2,20,3.3927e-009,43.6589
2,2,20,4.0859e-009,46.6127
2,2,20,4.4186e-009,43.4634
3,2,20,2.86203e-013,45.9972
3,2,20,3.57616e-013,43.4694
3,2,20,3.1896e-013,48.4155
3,2,20,4.44493e-013,43.7462
3,2,20,2.99508e-013,46.6976
