best_fitness,runtime_ms,vector
66132.7,0,-17.6912 -20.2217 -48.5972 -3.12737 51.9105 -46.5204 -49.8908 71.7115 27.4103 -10.5642 58.5197 -41.9428 2.3751 77.2836 -97.4857 69.0526 -7.64753 -13.8402 -84.3649 4.55629 22.1869 8.46219 32.8234 21.5613 37.203 -61.1383 -39.2286 74.3416 -27.2816 42.7302
59726.5,0,-18.8764 61.6657 25.4433 53.2727 -0.912422 -94.8953 -11.3494 -14.9006 -48.2216 61.5126 -4.16924 -36.2484 77.4771 -20.6058 -15.9792 3.17792 77.9814 -45.7837 3.85348 7.15556 14.6119 -86.4681 -59.6776 -30.1909 34.7695 -48.5061 -60.1258 2.11092 9.23144 30.3184
72933.6,0,-36.0695 -64.8826 -31.4634 37.7627 37.7802 -56.2655 -21.9503 -54.2964 98.8251 50.7091 -68.2296 -29.2408 64.2117 -23.1527 52.9433 21.9052 33.063 -4.84423 -62.6424 32.5707 -31.2295 61.7615 33.939 -1.70845 96.143 67.5162 50.6507 21.5539 38.1825 -29.2874
65839.1,0,55.2289 -12.6086 -49.2908 -21.3121 -10.9924 -67.7326 -85.4261 31.1806 17.2058 57.2965 61.9906 -35.6396 -21.765 -82.5643 -8.00233 63.454 27.3865 3.96856 -84.8927 21.1469 23.59 38.3173 40.1146 -24.9079 -12.0198 -83.693 15.6603 -6.30517 23.5126 -77.6781
69265,0,40.7501 -32.8201 -21.5309 -56.3221 -87.4133 46.2321 -54.9956 -17.3296 32.8926 -5.04353 42.9981 -6.70052 46.4798 -40.5762 -35.7646 -81.057 -63.6088 28.553 -43.1232 -89.7436 18.6938 22.1293 -1.6984 98.1965 -14.4555 -4.42427 92.0065 -2.63314 33.9624 -4.16931
65394.3,0,-26.0072 -0.963608 14.9663 -33.9507 -71.6137 17.8181 -39.4596 -21.6537 42.912 -81.449 -70.4651 27.825 20.173 8.00641 37.2179 27.2711 29.8491 -61.0855 -19.7263 12.7869 69.8237 -98.121 -58.1996 32.6522 1.21526 2.22194 -82.3419 4.71613 -88.5813 -16.3265
70967.8,0,12.2219 -12.773 -27.2655 -60.692 35.8084 -26.7365 17.5377 33.2675 14.5393 -26.9346 -63.0694 56.0718 55.2051 90.0974 45.6898 -40.9189 -6.96181 -89.4273 6.35687 -44.1938 33.431 21.2626 2.47692 81.5741 51.3056 87.391 56.8402 -59.2438 31.9638 -59.4141
53368.5,0,44.1235 -57.5947 -56.5223 -21.764 -43.9366 -28.2837 29.7671 -84.1056 48.3448 -77.0384 95.5174 -62.7018 15.3993 -39.0573 9.19526 -38.4742 12.0544 12.9031 -30.105 -24.7928 1.43159 62.5039 -19.0311 -27.2126 -0.361557 -8.05164 13.6465 39.3353 -20.7768 4.09357
72362.6,0,-78.7507 -15.9612 16.7074 60.8079 46.159 34.4819 97.1683 -55.0864 60.1784 73.7093 -23.5249 -19.6864 30.6738 -90.0197 -1.19157 29.7215 -54.8442 11.0631 -19.077 30.6117 -24.7288 41.1987 -16.3966 -35.4082 -45.362 -72.8146 -66.2973 77.7961 -11.4992 2.60139
62983.2,0.8165,-24.5734 -5.16533 25.8752 33.7327 -70.1851 17.8226 29.3237 62.3769 -18.7117 -74.5169 -48.9185 86.3699 86.7828 4.3166 -53.5387 20.2961 8.61344 87.0398 25.6645 -1.86946 -53.6206 46.7777 -53.8098 9.3772 11.4103 -70.7111 37.0428 5.20866 -14.1823 -29.6178
